Question,Answer,Keywords
"Apakah kartu KIP/KKS/PKH wajib diupload?","Jika punya, SANGAT WAJIB diupload. Kartu bantuan sosial pemerintah (PIP/KIP) akan membantu kami mengusulkan beasiswa pendidikan jalur aspirasi/pemerintah untuk anak Anda.","kip, kks, pkh, kartu pintar, beasiswa, upload"
"Saya salah transfer ke rekening Yayasan lain, bagaimana?","Waduh. Pondok tidak bertanggung jawab atas kesalahan tujuan transfer. Anda harus mengurus sendiri ke Bank terkait untuk pembatalan/penarikan dana. Selalu cek nama penerima sebelum kirim uang!","salah transfer, uang hilang, salah rekening, tanggung jawab"
"Bagaimana cara mengetahui nomor kamar asrama saya?","Pembagian kamar (Kamar) biasanya diumumkan saat hari kedatangan (Check-in) di papan pengumuman pondok, atau diinfokan H-1 lewat grup WhatsApp wali santri. Sistem online jarang menampilkan ini demi keamanan.","kamar, asrama, pembagian, cek kamar"
"Apakah akun pendaftaran ini berlaku selamanya?","Akun biasanya hanya aktif selama periode pendaftaran tahun berjalan. Setelah tahun ajaran dimulai, data akan dimigrasi ke sistem akademik pusat dan akun pendaftaran mungkin dinonaktifkan/direset.","masa aktif akun, selamanya, data lama, login"
"Di mana saya bisa download brosur rincian biaya lengkap?","Di halaman depan website https://www.alikhsan-beji.app/ biasanya ada tombol 'Download Brosur' atau di menu 'Informasi'. File berbentuk PDF atau Gambar yang bisa disimpan di HP.","brosur, rincian biaya, download, pdf info"
"Ada nomor admin yang bisa dihubungi?","Tentu, Anda bisa menghubungi Admin kami via WhatsApp di 081218768593. Klik link ini untuk chat langsung: https://wa.me/6281218768593","admin, kontak, nomor wa, whatsapp, hubungi"
"Saya butuh bantuan teknis, hubungi siapa?","Untuk kendala teknis atau pendaftaran, silakan chat Admin Support di 081218768593 atau klik langsung: https://wa.me/6281218768593","bantuan, teknis, error, support, chat"
"Minta nomor WA admin dong.","Ini nomor WhatsApp Admin kami: 081218768593. Agar lebih cepat, silakan klik link ini: https://wa.me/6281218768593","minta nomor, no wa, whatsapp admin, telepon"
"Siapa yang bisa dihubungi kalau website error?","Silakan laporkan kendala website ke Admin di nomor 081218768593. Klik link berikut untuk terhubung ke WhatsApp: https://wa.me/6281218768593","lapor, error, kendala, website down, admin it"
"Apakah ada kontak person pendaftaran?","Ya, segala pertanyaan terkait pendaftaran bisa ditanyakan ke 081218768593. Link chat langsung: https://wa.me/6281218768593","cp, contact person, narahubung, tanya pendaftaran"
"Saya tidak bisa klik tombol finalisasi.","Pastikan Anda sudah mencentang kotak 'Saya menyetujui pernyataan di atas' di bagian bawah formulir. Jika belum dicentang, tombol finalisasi akan tetap non-aktif.","finalisasi, centang, setuju, syarat, tombol mati"
"Apakah bisa daftar lewat laptop?","Bisa sekali. Justru kami menyarankan mendaftar lewat Laptop/PC agar tampilan formulir lebih lebar dan meminimalisir kesalahan ketik dibandingkan lewat HP.","laptop, pc, komputer, daftar lewat mana, rekomendasi"
"Berapa lama validasi berkas fisik?","Verifikasi berkas fisik saat daftar ulang biasanya langsung selesai di tempat (one day service), asalkan semua berkas yang dibawa sudah lengkap sesuai persyaratan.","validasi, berkas fisik, lama proses, daftar ulang"
"Bagaimana jika nama di KTP dan KK orang tua berbeda?","Gunakan data yang tertera di KK (Kartu Keluarga) terbaru sebagai acuan utama, karena KK biasanya lebih sering diperbarui datanya dibanding KTP lama.","beda nama, ktp kk, data ortu, validasi"
"Apakah ada biaya tambahan untuk seragam?","Biaya seragam pondok biasanya sudah termasuk dalam rincian Biaya Daftar Ulang (Uang Masuk). Namun untuk seragam sekolah formal (OSIS/Pramuka) kadang dibeli terpisah di koperasi. Cek rincian biaya di brosur.","biaya seragam, baju, beli terpisah, uang gedung"
"Saya punya sertifikat tahfidz 5 juz, apakah dapat prioritas?","Tentu. Pendaftar dengan sertifikat tahfidz atau prestasi akademik biasanya mendapatkan poin plus saat seleksi kelas, dan berpotensi mendapatkan beasiswa prestasi jika kuota tersedia.","sertifikat, tahfidz, prestasi, prioritas, beasiswa"
"Apakah ada jemputan dari terminal Purwokerto?","Pondok tidak menyediakan layanan jemputan reguler. Namun jika Anda datang rombongan besar (studi banding), bisa konfirmasi ke humas untuk bantuan penunjuk jalan.","jemputan, terminal, stasiun, antar jemput, transportasi"
"Bagaimana kalau saya telat datang saat hari pertama masuk?","Wajib konfirmasi ke pengurus keamanan atau asrama. Keterlambatan tanpa kabar bisa dianggap mengundurkan diri atau mendapatkan sanksi indisipliner bagi santri lama.","telat, terlambat, check in, hari pertama, sanksi"
"Apakah uang saku santri dibatasi?","Ya, kami menyarankan uang saku tidak berlebihan. Rata-rata santri cukup dengan Rp 300rb - 500rb per bulan (di luar syahriyah), tergantung gaya hidup. Uang berlebih rawan hilang atau disalahgunakan.","uang saku, jajan, nominal, batasan, hemat"
